2022-05-19 14:05:172 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:558 INFO  HomePage :28 - Enter Username: [[ChromeDriver: chrome on WINDOWS (eb79d449953d22088fbecc859c55f755)] -> xpath: //input[@id='user-name']]
2022-05-19 14:05:732 INFO  HomePage :32 - Enter PassWord: [[ChromeDriver: chrome on WINDOWS (eb79d449953d22088fbecc859c55f755)] -> xpath: //input[@id='password']]
2022-05-19 14:05:27 INFO  HomePage :37 - Click on Login Button: [[ChromeDriver: chrome on WINDOWS (eb79d449953d22088fbecc859c55f755)] -> xpath: //input[@id='login-button']]
2022-05-19 19:05:804 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 19:05:635 INFO  HomePage :28 - Enter Username: [[ChromeDriver: chrome on WINDOWS (0542b3aa82204e663add95a0a8db1b86)] -> xpath: //input[@id='user-name']]
2022-05-19 19:05:510 INFO  HomePage :32 - Enter PassWord: [[ChromeDriver: chrome on WINDOWS (0542b3aa82204e663add95a0a8db1b86)] -> xpath: //input[@id='password']]
2022-05-19 19:05:894 INFO  HomePage :37 - Click on Login Button: [[ChromeDriver: chrome on WINDOWS (0542b3aa82204e663add95a0a8db1b86)] -> xpath: //input[@id='login-button']]
2022-05-19 19:05:489 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 19:05:299 INFO  HomePage :28 - Enter Username: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='user-name']]
2022-05-19 19:05:762 INFO  HomePage :32 - Enter PassWord: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='password']]
2022-05-19 19:05:133 INFO  HomePage :37 - Click on Login Button: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='login-button']]
2022-05-19 19:05:431 INFO  ProductPage :32 - Select FROM Drop Down: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 19:05:640 INFO  ProductPage :40 - Click on Cheapest Product: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 19:05:762 INFO  ProductPage :36 - Click on Costliest Product: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 19:05:926 INFO  ProductPage :44 - Click on Shopping Cart: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 19:05:261 INFO  CheckOutPage :37 - Enter First Name: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='first-name']]
2022-05-19 19:05:397 INFO  CheckOutPage :41 - Enter Last Name: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='last-name']]
2022-05-19 19:05:536 INFO  CheckOutPage :45 - Enter Post Code: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='postal-code']]
2022-05-19 19:05:687 INFO  CheckOutPage :49 - Click on Continue Tab: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //input[@id='continue']]
2022-05-19 19:05:855 INFO  CheckOutPage :53 - Click on Finish Tab: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //button[@id='finish']]
2022-05-19 19:05:890 INFO  ConfirmationPage :22 - Get Message: [[ChromeDriver: chrome on WINDOWS (4defbf03f7ee429c4cdf6c094fc46f6d)] -> xpath: //h2[contains(text(),'THANK YOU FOR YOUR ORDER')]]
